Proteins,ECC,CC,GO,SubCell
YGR118W,0,0,0,0
YKL086W,0,0,0,0
YFL003C,0,0,0,0
YHR127W,0,0,0,0
YDL162C,0.002800622,0.047619048,0.000742645,0
YDR315C,0,0,0,0
YIR036C,0.135973173,0.083333333,0.002463582,0
YGR103W,0,0,0,0
YDR398W,0,0,0,0
YBR219C,0,0,0,0
YLR459W,0.093531272,0.266666667,0.013447405,0
YDL006W,0,0,0,0
YLR323C,0,0,0,0
YJL031C,0.010623905,1,0.000828335,0
YHR068W,0.180357733,0.431578947,0.019027531,0
YJR053W,0,0,0,0
YLR170C,0,0,0,0
YIL016W,0,0,0,0
YBL046W,0,0,0,0
YPR201W,0,0,0,0
YNL211C,0,0,0,0
YMR083W,0.01379438,1,0.000952109,0
YLR093C,0,0,0,0
YGL148W,0,0,0,0
YHR143W-A,0.006334154,0.166666667,0.000761687,0
YDR087C,0,0,0,0
YMR279C,0,0,0,0
YDR344C,0,0,0,0
YPL153C,0,0,0,0
YDR404C,0,0,0,0
YMR182C,0.050727883,0.357142857,0.00297296,0
YDR295C,0,0,0,0
YJL032W,0,0,0,0
YDL206W,0,0,0,0
YLR392C,0,0,0,0
YGR240C,0,0,0,0
YEL069C,0,0,0,0
YPR093C,0.00580227,0.133333333,0.007140817,0
YEL066W,0.008754065,0.5,0.002905632,0
YGL066W,0.069170824,0.277777778,0.007787458,0
YGR152C,0,0,0,0
YBR130C,0,0,0,0
YML038C,0,0,0,0
YKR101W,0,0,0,0
YKR033C,0,0,0,0
YFR016C,0,0,0,0
YPR082C,0,0,0,0
YGL210W,0,0,0,0
YGL234W,0,0,0,0
YKL144C,0.033068574,0.3,0.000799771,0
YIR025W,0.029788537,0.166666667,0.001151495,0
YPR171W,0.035674917,0.166666667,0.001499572,0
YKR055W,0,0,0,0
YNR015W,0,0,0,0
YKL015W,0.046301888,0.112554113,0.005696959,0
YLR386W,0.015591764,0.047619048,0.000129833,0
YGR048W,0.182908712,0.8,0.003532324,0
YNL317W,0,0,0,0
YOR313C,0,0,0,0
YDR376W,0,0,0,0
YDR193W,0,0,0,0
YNL046W,0,0,0,0
YOL113W,0.026583414,0.072727273,0.002456441,0
YNL044W,0,0,0,0
YOR344C,0,0,0,0
YJR011C,0,0,0,0
YLR267W,0.230157635,0.136302294,0.015266273,0
YBL007C,0,0,0,0
YOR242C,0,0,0,0
YNL053W,0.021958401,0.066666667,0.000342759,0
YLR052W,0,0,0,0
YBR271W,0,0,0,0
YGL150C,0,0,0,0
YLR157C-A,0.016553256,0.009195402,0.000276112,0
YLR113W,0,0,0,0
YGR110W,0,0,0,0
YKL154W,0.01767539,0.666666667,0.009997144,0
YBR216C,0,0,0,0
YDR121W,0,0,0,0
YGR151C,0.072519025,0.3,0,0
YMR149W,0.029832241,0.333333333,0.000975912,0
YDR166C,0,0,0,0
YPL071C,0,0,0,0
YCR094W,0,0,0,0
YJR030C,0,0,0,0
YCR081W,0,0,0,0
YDR010C,0,0,0,0
YKL224C,0.224787443,0.095305832,0.02211783,0
YCR077C,0.013984796,0.055555556,0.001856612,0
YOR020C,0,0,0,0
YOR372C,0,0,0,0
YNL005C,0.143787723,0.124183007,0.013208655,0
YAL040C,0,0,0,0
YPL090C,0,0,0,0
YKR073C,0,0,0,0
YKL208W,0,0,0,0
YNL176C,0,0,0,0
YKR082W,0,0,0,0
YKL105C,0,0,0,0
YPR187W,0,0,0,0
YJR123W,0,0,0,0
YPL065W,0,0,0,0
YDL196W,0,0,0,0
YJL123C,0.006334154,0.333333333,0.000207733,0
YPR016C,0.095253659,0.073684211,0.004268168,0
YNL236W,0,0,0,0
YLR203C,0.022701608,0.013333333,0.003392568,0.025
YMR153W,0,0,0,0
YOR279C,0,0,0,0
YGL029W,0,0,0,0
YOL072W,0.030012701,0.218181818,0.007916106,0
YJR073C,0,0,0,0
YGR148C,0.006995032,0.018181818,0.00060799,0
YPL169C,0,0,0,0
YFL036W,0.001778008,0.333333333,0.000580786,0
YBL063W,0.005197255,0.1,0.000285633,0
YJL151C,0,0,0,0
YFL040W,0.009546833,0.5,0.000885461,0
YDL175C,0,0,0,0
YOR005C,0,0,0,0
YJR049C,0.018541796,0.166666667,0.000571265,0
YLR051C,0,0,0,0
YHR185C,0,0,0,0
YER158C,0,0,0,0
YGL263W,0.031924136,0.166666667,0.000122414,0
YLR059C,0.006885646,0.155555556,0.002570694,0
YBL051C,0,0,0,0
YMR271C,0,0,0,0
YGL215W,0,0,0,0
YLR333C,0,0,0,0
YIL172C,0.007347327,0.166666667,0.000595068,0
YDR408C,0.032064099,0.032608696,0.009197372,0
YDR259C,0,0,0,0
YBR201W,0.005670954,0.1,0.003141959,0
YFL029C,0.055464156,1,0.000603909,0
YKL109W,0.121774126,0.108465608,0.047224602,0
YJL099W,0,0,0,0
YPR156C,0,0,0,0
YLR132C,0.051280366,0.3,0.001846226,0
YNR007C,0,0,0,0
YLR128W,0,0,0,0
YDR262W,0.034816093,0.083333333,0.000714082,0
YLR321C,0.008996335,0.166666667,0,0
YDR120C,0.012330486,0.066666667,0.000630618,0
YDR372C,0.035471262,0.166666667,0.000642674,0
YBL014C,0,0,0,0
YBR178W,0.010291807,0.4,0.002189851,0
YLR217W,0.012007019,0.2,0.001380558,0
YPL084W,0.155530744,0.461538462,0.036996232,0
YDR004W,0.463855461,0.422988506,0.062699773,0
YOR058C,0,0,0,0
YFR022W,0,0,0,0
YJL106W,0.029559385,0.333333333,0.001085404,0
YKL119C,0.559688416,0.339015152,0.080939024,0
YNL273W,0,0,0,0
YLL028W,0,0,0,0
YOR251C,0,0,0,0
YNL075W,0,0,0,0
YBL033C,0,0,0,0
YLR190W,0.009594851,0.476190476,0.004094068,0
YJL190C,0,0,0,0
YOR173W,0,0,0,0
YBR269C,0.216465653,0.416666667,0.004746263,0
YAL043C,0,0,0,0
YOR220W,0,0,0,0
YNR004W,0.036205151,0.003544061,0.008864134,0
YNL189W,0.111514428,0.114285714,0.004778477,0
YEL015W,0,0,0,0
YFR027W,0,0,0,0
YLR081W,0.124076829,0.084126984,0.012889233,0
YDR162C,0,0,0,0
YCL030C,0,0,0,0
YBL058W,0,0,0,0
YGR210C,0.018554199,0.00202743,0.010565689,0.05625
YMR047C,0,0,0,0
YDR270W,0,0,0,0
YNL290W,0,0,0,0
YOR133W,0,0,0,0
YGR109C,0,0,0,0
YNL071W,0,0,0,0
YGR185C,0,0,0,0
YDR483W,0,0,0,0
YNL242W,0,0,0,0
YNL252C,0,0,0,0
YNL228W,0,0,0,0
YOL150C,0,0,0,0
YKR090W,0.101173714,0.25,0.001618585,0
YKR072C,0.001819039,0.166666667,0,0
YGL081W,0,0,0,0
YDR502C,0,0,0,0
YGR073C,0.026989004,0.045454545,0,0
YEL017W,0.038618697,0.269230769,0.004215617,0
YDR334W,0,0,0,0
YLR228C,0,0,0,0
YKL160W,0,0,0,0
YGR031W,0.04001886,0.088888889,0.002820623,0
YCL032W,0,0,0,0
YEL075C,0,0,0,0
YOL112W,0.010972325,0.5,0.002952156,0
YNL296W,0,0,0,0
YDR238C,0.228259571,0.05819209,0.026082169,0
YOR326W,0,0,0,0
YDR333C,0,0,0,0
YIL047C,0,0,0,0
YJL056C,0,0,0,0
YOL129W,0.035893539,0.133333333,0.000571265,0
YLR263W,0,0,0,0
YNL187W,0,0,0,0
YIL071C,0.047935827,0.176470588,0.013353328,0
YML041C,0,0,0,0
YDL105W,0.000892359,0.333333333,0,0
YMR172W,0.014122817,0.333333333,0.000285633,0
YLR086W,0,0,0,0
YGL183C,0.018482395,0.166666667,0.000666476,0
YER145C,0.012612004,0.166666667,0.000575232,0
YAL014C,0,0,0,0
YPL077C,0.076423489,0.128205128,0.002522588,0
YPL016W,0,0,0,0
YLR034C,0,0,0,0
YGR032W,0.008961161,0.022222222,0.000428449,0
YGR074W,0,0,0,0
YCR042C,0.055909466,0.3,0.003713225,0
YJL138C,0.015591764,0.166666667,0.000750701,0
YPL232W,0,0,0,0
YLR209C,0,0,0,0
YOL008W,0,0,0,0
YPL276W,0.012316411,0.333333333,0.000589401,0
YDL058W,0,0,0,0
YNL227C,0.011823754,0.166666667,0.000154718,0
YGL190C,0,0,0,0
YDR025W,0,0,0,0
YBR244W,0,0,0,0
YDR541C,0,0,0,0
YPL128C,0,0,0,0
YGR199W,0,0,0,0
YPR163C,0,0,0,0
YMR288W,0,0,0,0
YGL060W,0.002229919,0.333333333,0,0
YKL204W,0.412531384,0.151020408,0.067365199,0
YDL029W,0,0,0,0
YNL019C,0.011107163,0.047619048,0,0
YGL236C,0,0,0,0
YOR258W,0,0,0,0
YOR138C,0.00219584,0.166666667,0.000582806,0
YHR039C-A,0,0,0,0
YCR046C,0,0,0,0
YMR104C,0.315764305,0.223529412,0.051332952,0
YHR129C,0,0,0,0
YKL142W,0.101346464,0.238095238,0,0
YMR167W,0,0,0,0
YJR082C,0,0,0,0
YJR115W,0.185340821,0.069767442,0.023724968,0
YLR229C,0.302670827,0.35,0.00850426,0
YDR108W,0.008996335,1,0,0
YGR121C,0,0,0,0
YDR538W,0.060113118,0.511111111,0.006129191,0
YLR111W,0,0,0,0
YOL094C,0,0,0,0
YNL043C,0.0721275,0.171428571,0.01416262,0
YKL007W,0,0,0,0
YHR109W,0,0,0,0
YDR427W,0.106413787,0.5,0.000457012,0
YPR072W,0,0,0,0
YDL179W,0,0,0,0
YDR365C,0.026530279,0.087912088,0.003276728,0
YER083C,0,0,0,0
YBR214W,0,0,0,0
YIL086C,0,0,0,0
YMR318C,0,0,0,0
YER029C,0.015940612,0.222222222,0.002939976,0
YER019W,0,0,0,0
YOL091W,0.031924136,0.166666667,0.000999714,0
YML112W,0.044392822,0.072727273,0.008283348,0
YDL192W,0.037836013,0.333333333,0.000754114,0
YNL261W,0.054209625,0.076923077,0,0
YDR028C,0,0,0,0
YLR074C,0.025985192,0.142857143,0.001236172,0
YNL106C,0,0,0,0
YIR011C,0,0,0,0
YHR116W,0,0,0,0
YGL047W,0,0,0,0
YBR044C,0,0,0,0
YMR287C,0.035471262,0.166666667,0.000580786,0
YKL008C,0,0,0,0
YMR213W,0.855026602,0.118246687,0.231746329,0
YER016W,0.03953566,0.111111111,0.01249068,0
YBR135W,0,0,0,0
YLR387C,0,0,0,0
YER163C,0.024323151,0.333333333,0.000499857,0
YIL002C,0,0,0,0
YHR195W,0,0,0,0
YDR527W,0,0,0,0
YER073W,0,0,0,0
YOR206W,0.104745143,0.153846154,0.003614,0.025
YER148W,0,0,0,0
YJL076W,0.015950551,0.333333333,0,0
YIL026C,0.011612616,0.047619048,0,0
YGR072W,0,0,0,0
YGR276C,0,0,0,0
YGR204W,0.010126066,0.025641026,0.000476054,0
YAR014C,0,0,0,0
YKL127W,0,0,0,0
YAL064W-B,0,0,0,0
YNL087W,0.018918007,0.166666667,0.000828335,0
YPL212C,0,0,0,0
YDR190C,0,0,0,0
YNL169C,0.023319439,0.25,0.001267418,0
YDR293C,0,0,0,0
YCL059C,0,0,0,0
YNL335W,0,0,0,0
YOR081C,0.024184952,1,0.000571265,0
YGL137W,0,0,0,0
YDR066C,0,0,0,0
YLR057W,0,0,0,0
YJR100C,0,0,0,0
YLR270W,0,0,0,0
YJL072C,0.05046609,0.110294118,0.001299629,0
YML115C,0.007519534,0.266666667,0.001363556,0
YGL194C,0.040201679,0.058823529,0.010063791,0
YPL124W,0.010088238,0.001898734,0.002627821,0
YLR453C,0.31811575,0.048539519,0.070140627,0
YLR103C,0.017457114,0.142857143,0,0
YLR082C,0,0,0,0
YBR069C,0.03188956,0.243589744,0.004057437,0
YJR032W,0,0,0,0
YMR295C,0,0,0,0
YLR214W,0,0,0,0
YGR208W,0,0,0,0
YKR100C,0,0,0,0
YDR423C,0,0,0,0
YDL031W,0,0,0,0
YGR079W,0,0,0,0
YOL152W,0.03118398,0.25,0.000714082,0
YGL124C,0.004363528,0.066666667,0.000204023,0
YMR192W,0,0,0,0
YOL023W,0,0,0,0
YHR132C,0,0,0,0
YER159C-A,0.016257758,0.380952381,0.00122911,0
YGR200C,0.007945563,0.000903226,0.004489194,0
YLR295C,0,0,0,0
YNL300W,0,0,0,0
YGR104C,0.024829884,0.333333333,0.000595068,0
YLR238W,0,0,0,0
YAL019W,0,0,0,0
YEL057C,0,0,0,0
YDR433W,0.19429109,0.122507123,0.015538418,0
YOL069W,0,0,0,0
YDR214W,0,0,0,0
YGR217W,0.034310385,0.02173913,0.001635896,0
YER118C,0.02837701,0.1,0.001523374,0
YLR197W,0,0,0,0
YGR087C,0.05376993,0.2,0.001494811,0
YNL121C,0,0,0,0
YOR111W,0,0,0,0
YBL025W,0,0,0,0
YDL145C,0,0,0,0
YOR161C,0.009594851,0.666666667,0.001809007,0
YBL024W,0.004391492,0.133333333,0.000856898,0
YBL101C,0.024323151,1,0,0
YJL029C,0.511375077,0.224021592,0.048506382,0
YJR043C,0.010390572,0.047619048,0.000571265,0
YNL263C,0.002462123,0.333333333,0.001451966,0
YNL090W,0.020573332,0.333333333,0.000745365,0
YJL057C,0,0,0,0
YHL043W,0.004399024,0.2,0.001885176,0
YPL234C,0.118237541,0.666666667,0,0
YDL095W,0.025618134,0.333333333,0,0
YGR004W,0.030893198,0.095238095,0.001499572,0
YKL135C,0.008825247,0.054545455,0,0
YMR060C,0.001656066,1,9.52E-05,0
YER164W,0.370017948,0.200757576,0.031677359,0
YMR190C,0,0,0,0
YDL237W,0.304161819,0.143961353,0.028916838,0
YDR150W,0,0,0,0
YFR057W,0,0,0,0
YKL116C,0,0,0,0
YJR019C,0,0,0,0
YHL036W,0,0,0,0
YBL099W,0,0,0,0
YBR128C,0,0,0,0
YGR026W,0,0,0,0
YLR358C,0.029559385,0.333333333,0,0
YBL079W,0,0,0,0
YOL011W,0,0,0,0
YCR036W,0.002299052,0.666666667,0.002570694,0
YMR274C,0.004982868,0.047619048,0.001237742,0
YGL213C,0.024323151,0.1,0,0
YMR022W,0,0,0,0
YGR180C,0.00604069,0.2,0,0
YML028W,0,0,0,0
YBR034C,0,0,0,0
YER176W,0,0,0,0
YDR479C,0,0,0,0
YBR253W,0.007151722,0.066666667,0.000428449,0
YOR303W,0,0,0,0
YHR190W,0,0,0,0
YPR145W,0,0,0,0
YJR097W,0,0,0,0
YBL087C,0,0,0,0
YPL036W,0,0,0,0
YDL128W,0.039773172,0.3,0.002047034,0
YML015C,0.008835333,0.333333333,0,0
YDR195W,0,0,0,0
YNL267W,0.01306836,0.066666667,0.000701098,0
YCR034W,0,0,0,0
YKL137W,0.045605909,0.060606061,0.002126943,0
YLR310C,0,0,0,0
YJL112W,0,0,0,0
YIL174W,0,0,0,0
YGL226C-A,0.021916258,0.083333333,0.000639927,0
YIR017C,0.04125652,0.111111111,0.00483891,0
YJL061W,0,0,0,0
YKL023W,0,0,0,0
YDR023W,0.00689719,0.166666667,0,0
YHR113W,0,0,0,0
YLL062C,0.071690122,0.560606061,0.00852896,0
YDR149C,0,0,0,0
YER075C,0,0,0,0
YKL026C,0,0,0,0
YLR460C,0,0,0,0
YML031C-A,0,0,0,0
YOR154W,0,0,0,0
YNL234W,0,0,0,0
YLR141W,0,0,0,0
YKL047W,0,0,0,0
YGL010W,0,0,0,0
YLR028C,0,0,0,0
YJL069C,0,0,0,0
YLR449W,0,0,0,0
YOL086C,0.002516188,0.066666667,0.000408047,0
YGR144W,0,0,0,0
YGL003C,0.002189584,1,0,0
YJL188C,0,0,0,0
YGR292W,0.022760727,0.044444444,0,0
YMR080C,0.32460957,0.147502904,0.061615729,0
YBR234C,0,0,0,0
YDR199W,0,0,0,0
YGL100W,0,0,0,0
YDR107C,0.007567203,0.333333333,0,0
YKR069W,0,0,0,0
YNL036W,0,0,0,0
YJR099W,0.035190147,0.133333333,0,0
YHR023W,0.026012259,0.333333333,0.000571265,0
YJL137C,0.134495203,0.196969697,0.001428163,0
YDL047W,0,0,0,0
YDR453C,0,0,0,0
YDR387C,0,0,0,0
YAL054C,0,0,0,0
YBR188C,0,0,0,0
YDR026C,0.004875491,0.1,0,0
YIL022W,0,0,0,0
YJL214W,0,0,0,0
YPL092W,0,0,0,0
YJL043W,0.047855089,0.333333333,0.00148529,0
YNL272C,0,0,0,0
YFL021W,0,0,0,0
YLL046C,0.006309118,0.166666667,0.001160571,0
YBR289W,0.521147551,0.419354839,0.085817611,0
YPL008W,0,0,0,0
YKL028W,0,0,0,0
YHR179W,0,0,0,0
YEL074W,0,0,0,0
YLR053C,0,0,0,0
YHR214W,0,0,0,0
YOR354C,0,0,0,0
YOL122C,0,0,0,0
YLR040C,0,0,0,0
YGR295C,0,0,0,0
YEL064C,0,0,0,0
YLR003C,0.0117069,0.095238095,0.003570408,0
YMR124W,0,0,0,0
YJL050W,0,0,0,0
YBR110W,0,0,0,0
YJR154W,0,0,0,0
YOR198C,0,0,0,0
YGR068C,0,0,0,0
YDR327W,0,0,0,0
YER076C,0,0,0,0
YDL144C,0.021828469,0.025641026,0,0
YMR308C,0,0,0,0
YMR216C,0,0,0,0
YNL062C,0,0,0,0
YIL096C,0.036072518,0.076923077,0.006569552,0
YHR060W,0,0,0,0
YPL129W,0,0,0,0
YDR008C,0,0,0,0
YBR125C,0,0,0,0
YMR009W,0.597966705,0.395256917,0.044101685,0
YOL148C,0,0,0,0
YDR482C,0.002516188,0.166666667,0.001428163,0
YFR047C,0,0,0,0
YPL252C,0,0,0,0
YOR131C,0,0,0,0
YBL039C,0,0,0,0
YLR145W,0,0,0,0
YOR350C,0.250457675,0.151515152,0.046350703,0
YBR200W,0,0,0,0
YOR172W,0,0,0,0
YDL044C,0,0,0,0
YNL054W,0,0,0,0
YMR044W,0,0,0,0
YPR158W-B,0,0,0,0
YOL066C,0,0,0,0
YOL016C,0,0,0,0
YOR085W,0,0,0,0
YMR134W,0,0,0,0
YDL210W,0.000964808,0.166666667,0.000249929,0
YDR155C,0,0,0,0
YPL110C,0,0,0,0
YJR122W,0.001978356,0.035714286,0,0
YOR197W,0,0,0,0
YIL009W,0,0,0,0
YFL030W,0,0,0,0
YPL026C,0,0,0,0
YCL010C,0.01152816,0.022222222,0.001809007,0
YNL086W,0,0,0,0
YLR346C,0,0,0,0
YHR096C,0,0,0,0
YGL069C,0,0,0,0
YPL159C,0,0,0,0
YDL098C,0,0,0,0
YJL046W,0.085690381,0.054187192,0.004305058,0
YFL039C,0.138058621,0.2,0.012316982,0
YDR309C,0,0,0,0
YPR191W,0.055423848,0.042105263,0.002513568,0
YDL226C,0.070744209,0.285714286,0.00707961,0
YOR101W,0.005186554,1,0.001101726,0
YHR108W,0,0,0,0
YPR161C,0.01302391,0.666666667,0,0
YNL002C,0,0,0,0
YOR286W,0,0,0,0
YHR164C,0,0,0,0
YMR313C,0,0,0,0
YGL052W,0,0,0,0
YBL082C,0.01096696,0.333333333,0.000415466,0
YJL097W,0.058612038,0.4,0.002469042,0
YGR274C,0,0,0,0
YKL173W,0,0,0,0
YMR296C,0.016866104,0.25,0.004499797,0
YER122C,0,0,0,0
YGR232W,0,0,0,0
YDR018C,0.008015584,0.166666667,0,0
YJR056C,0.009359995,0.19047619,0.001069731,0
YNL297C,0,0,0,0
YMR326C,0,0,0,0
YHR206W,0,0,0,0
YBR300C,0,0,0,0
YMR325W,0,0,0,0
YLR225C,0.034000375,0.192307692,0.007350281,0
YPL055C,0,0,0,0
YOL147C,0,0,0,0
YLR421C,0,0,0,0
YDR070C,0,0,0,0
YGL230C,0.064003211,0.013608428,0.01749903,0
YLR423C,0,0,0,0
YIL001W,0,0,0,0
YHR118C,0.024323151,1,0.000571265,0
YEL020W-A,0.041383139,0.333333333,0.001213939,0
YDR499W,0,0,0,0
YNR046W,0,0,0,0
YDR503C,0,0,0,0
YDR506C,0,0,0,0
YDL167C,0.049198198,0.045751634,0.003910447,0.3125
YGR113W,0,0,0,0
YLR226W,0,0,0,0
YLR415C,0,0,0,0
YGL226W,0.009826498,1,0.000714082,0
YDR443C,0,0,0,0
YJR089W,0,0,0,0
YDR007W,0,0,0,0
YDL185W1,0.025624725,0.038461538,0.000204023,0
YGL115W,0,0,0,0
YOR006C,0,0,0,0
YOR177C,0.034189528,0.060606061,0.000741385,0
YIL046W,0,0,0,0
YOR355W,0.06921995,0.106060606,0.000571265,0
YLR191W,0.493918586,0.340229885,0.073918546,0
YCL061C,0,0,0,0
YOR054C,0,0,0,0
YJL070C,0,0,0,0
YPL193W,0,0,0,0
YBL104C,0,0,0,0
YER069W,0,0,0,0
YOR292C,0,0,0,0
YPL136W,0,0,0,0
YPR160W,0.035066766,0.2,0.000979312,0
YCL054W,0,0,0,0
YAR042W,0,0,0,0
YBR138C,0,0,0,0
YMR244W,0,0,0,0
YGR291C,0.070942525,0.2,0.000647434,0
YLR105C,0,0,0,0
YDL106C,0,0,0,0
YKL020C,0.031530011,0.055555556,0,0
YFR037C,0.100880079,0.222222222,0.00271351,0
YFL005W,0.022071008,0.333333333,0.000999714,0
YFL060C,0,0,0,0
YLR331C,0.041951589,0.266666667,0.000589401,0
YPR111W,0,0,0,0
YLR044C,0,0,0,0
YOR262W,0,0,0,0
YJR079W,0,0,0,0
YNL072W,0.089035546,0.444444444,0.002531744,0
YOR132W,0,0,0,0
YMR229C,0,0,0,0
YJL034W,0,0,0,0
YLR461W,0,0,0,0
YHR032W,0,0,0,0
YCR007C,0,0,0,0
YKR093W,0,0,0,0
YLR140W,0.047711978,0.666666667,0,0
YNL214W,0,0,0,0
YGR053C,0,0,0,0
YER117W,0.026012259,0.1,0.000142816,0
YLR258W,0.008276628,0.333333333,0,0
YGL106W,0,0,0,0
YLR363C,0,0,0,0
YCR018C,0,0,0,0
YPL119C,0,0,0,0
YKL201C,0,0,0,0
YHR163W,0,0,0,0
YDL154W,0,0,0,0
YLR198C,0,0,0,0
YGL196W,0.008533352,0.027777778,0.00428449,0
YDR383C,0,0,0,0
YDR116C,0.40572147,0.126696833,0.095115681,0
YBL061C,0,0,0,0
YHR184W,0,0,0,0
YFR033C,0,0,0,0
YGR146C,0,0,0,0
YOR288C,0.003739643,0.2,0.000578066,0
YCR033W,0,0,0,0
YKL107W,0.002170444,0.012820513,0.000595068,0
YOL131W,0,0,0,0
YIL007C,0,0,0,0
YOR388C,0.008346179,0.007352941,0.002856327,0
YLR452C,0,0,0,0
YLR118C,0.01266979,0.222222222,0.001161913,0
YKL118W,0.023647508,0.066666667,0.001006515,0.025
YJL110C,0.018017149,1,0.000971151,0
YEL024W,0,0,0,0
YGL007W,0,0,0,0
YDR464W,0,0,0,0
YOL034W,0,0,0,0
YBR136W,0.00494064,0.333333333,0.000889356,0
YGR261C,0,0,0,0
YLR009W,0,0,0,0
YLR446W,0,0,0,0
YHR056C,0.022168223,0.444444444,0.00804532,0
YDR289C,0,0,0,0
YLR276C,0,0,0,0
YDR020C,0,0,0,0
YDR063W,0,0,0,0
YLR177W,0.001508566,0.333333333,0,0
YNL301C,0,0,0,0
YKR052C,0,0,0,0
YOR050C,0.069253417,0.266666667,0.001105807,0
YDR480W,0.947688471,0.105482304,0.269155517,0
YEL003W,0.92306186,0.082557121,0.290092584,0
YML094W,0,0,0,0
YDR442W,0,0,0,0
YLR192C,0.106413787,0.5,0.000585547,0
YCR093W,0.008541575,0.035714286,0,0
YDR422C,0,0,0,0
YKR011C,0.019255828,0.1,0.000980672,0
YGR246C,0.16257662,0.8,0.001168497,0
YJL098W,0,0,0,0
YBR207W,0,0,0,0
YBR263W,0,0,0,0
YEL070W,0,0,0,0
YPL075W,0.105231412,0.666666667,0.000571265,0
YGL022W,0,0,0,0
YDR072C,0,0,0,0
YOL003C,0,0,0,0
YNL285W,0,0,0,0
YFL068W,0,0,0,0
YNL183C,0,0,0,0
YNL253W,0,0,0,0
YOR359W,0,0,0,0
YGL093W,0.014827627,0.1,0.002223854,0
YIR005W,0,0,0,0
YJL063C,0,0,0,0
YOR334W,0.007492593,0.1,0.001237742,0
YOR164C,0,0,0,0
YNR034W,0,0,0,0
YHR130C,0.025538588,0.242424242,0.008140531,0
YDR485C,0,0,0,0
YHR098C,0,0,0,0
YDL240W,0.006334154,1,0,0
YOR272W,0,0,0,0
YOL128C,0,0,0,0
YOR119C,0,0,0,0
YIL066C,0.047295017,0.333333333,0.000576366,0
YBR037C,0.003692002,1,0.000457012,0
YCR024C,0,0,0,0
YPL207W,0.013821888,0.133333333,0.000904503,0
YEL036C,0,0,0,0
YOR317W,0,0,0,0
YDR105C,0,0,0,0
YKL128C,0,0,0,0
YDR459C,0,0,0,0
YGR159C,0,0,0,0
YPR049C,0,0,0,0
YML119W,0,0,0,0
YOR196C,0,0,0,0
YBR203W,0.047295017,0.333333333,0,0
YKR084C,0.175244435,0.342857143,0.004657173,0
YBR098W,0.021282757,0.1,0.000595068,0
YNL127W,0,0,0,0
YDR104C,0,0,0,0
YEL059C-A,0.066381301,0.428571429,0.002535145,0
YEL053C,0,0,0,0
YAL017W,0,0,0,0
YOR390W,0,0,0,0
YKL044W,0,0,0,0
YPL244C,0,0,0,0
YIL169C,0,0,0,0
